judul_proposal,deskripsi
Pembangunan Sistem Informasi Pengelolaan Air Tanah Kota Bandung,information management
Magang,social and professional issue
Sistem Cerdas Glosarium dan Rekognisi Batik,intelligent system
Kontes Robot Terbang Indonesia,intelligent system
Penerapan Metode Volume Hingga untuk Mitigasi Bencana Banjir Akibat Hujan Kawasan dan Bencana Banjir Akibat Keruntuhan Bendungan,software engineering
"Air Pollution Forecasting in Indonesia and Its co-Benefit Analysis for Health, Crop and Climate",software engineering
Pelaksanaan Pekerjaan Swakelola Pengumpulan Data Bawah Permukaan dan Evaluasi Sumberdaya dan Cadangan,information management
Pekerjaan Swakelola Program Implementasi EA-Pengajuan dan Persetujuan POD Terpadu Tahap 1,enterprise computing
Pengadaan Jasa Kajian dan Penelitian Strategi Implementasi dan Policy Roadmap di Era Konvergensi,enterprise computing
Penyelenggaraan Kegiatan Penyusunan Rencana Aksi Pembangunan dan Pengembangan Utilitas Pendukung Zona Industri Bantar Gebang,enterprise computing
Penyelenggaraan Kegiatan Penyusunan Rencana Pengembangan kawasan Pusat-Pusat Pelayanan Kota Melalui Konsep Smart City,enterprise computing
Jasa Konsultasi Pendamping Penyusunan RJPP 2017-2021 PT Pos Indonesia (Persero),enterprise computing
Perancangan dan Implementasi City Analytics di Atas Smart System Platform Untuk Meningkatkan Kecepatan dan Kualitas Respon Pemerintah Dalam Sebuah Kota Cerdas,algoritma dan pemrograman
Pemberian Bantuan Dana Tahun Pertama Riset Pembangunan Indonesia Terkait Pengembangan Produk Struktur Tahan Ledak Untuk Kendaraan Tempur,social and professional issue
Berjudul Akselerasi Peningkatan Inovasi dan Kreativitas ITB melalui Implementasi Innovation Entrepreneurship System Platform dalam kegiatan LPIK ITB,social and professional issue
Perangkat Base Station dan Smartphone 4G,algoritma dan pemrograman
Pengembangan dan Produksi Radar Nasional,sistem komputer
Penyusunan Masterplan (Rencana Induk) Science Techno Park (STP) Institut Teknologi Bandung (PRA RANCANGAN)/Pradesain ITB Innovation Park Kawasan Ganesha,enterprise computing
Penyusunan Tatakelola Kelembagaan dan Pengembangan Jejaring STP ITB,sistem komputer
Pengembangan Inovasi Teknologi Informasi dan Komunikasi,information management
Video Analytic for Smart Indonesia,intelligent system
