id,"nama_dosen",jabatanfungsional_id,"url",programstudi_id,perguruantinggi_id
1,"Afwarman",1,"https://forlap.ristekdikti.go.id/dosen/detail/M0RDQkQ1MDctRTc5NS00Q0NELUI5NEEtMDAzMDY2Rjk4MjY2",2,1
2,"Arry Akhmad Arman",2,"https://forlap.ristekdikti.go.id/dosen/detail/MDcyRkE5QUYtREEyRC00MTZCLUE5RTMtREZGQkU5OUVBQ0ZG",3,1
3,"Benhard Sitohang",3,"https://forlap.ristekdikti.go.id/dosen/detail/QTdERTVBQzUtOEUyNS00RTQzLTkyMzgtMTQ4NTVDNzhCQTA1",4,1
4,"Bayu Hendradjaya",4,"https://forlap.ristekdikti.go.id/dosen/detail/RjE1NjA2NjQtMDFGRi00RUU5LUFCNDUtRUQ4OUNCNjkyNDdG",2,1
5,"Dimitri Mahayana",2,"https://forlap.ristekdikti.go.id/dosen/detail/NzZDODIxNzgtMjJCQy00NjMxLUEwQzYtREQ4Mzc5ODdBNTE4",3,1
6,"Dody Dharma",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/MjE2RTU3RjMtOEFBQi00MUYwLTk0QzYtOUY3N0VGQ0ZFN0I2",4,1
7,"Fazat Nur Azizah",2,"https://forlap.ristekdikti.go.id/dosen/detail/NkU0RERBM0QtNTg3OC00QjAyLThFOTAtREJFOURFMENEOEU4",4,1
8,"Fitra Arifiansyah",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/NUM1NkJBNTQtNEJBRi00QzdDLTkzODYtQThGREJGQTJGRTZB",4,1
9,"Gusti Ayu Putri Saptawati S",2,"https://forlap.ristekdikti.go.id/dosen/detail/OEQyMEQ0RjQtNDNDMC00NzhFLTkwMTYtM0I3MTAyOUYyMEMw",2,1
10,"Harlili",2,"https://forlap.ristekdikti.go.id/dosen/detail/OTc1QTZBNDQtRENDQi00REFDLTg2MjctMjkwRTA2Q0ZGRERE",3,1
11,"I Gusti Bagus Baskara Nugraha",2,"https://forlap.ristekdikti.go.id/dosen/detail/OTZENzJCMEEtNTExNS00QTRDLUIwRjYtMEY0MUQxMzcyMDND",3,1
12,"Iping Supriana Suwardi",3,"https://forlap.ristekdikti.go.id/dosen/detail/QTY2QTU0N0UtQkIwMS00MkExLUI4RjItN0FBOUVDMEM2M0Q5",2,1
13,"Jaka Sembiring",1,"https://forlap.ristekdikti.go.id/dosen/detail/N0ZFMTE2MTQtNEI3Ri00MjhCLTkzQjMtNjY3M0ZDQzFCRDEw",2,1
14,"Judhi Santoso",2,"https://forlap.ristekdikti.go.id/dosen/detail/NkYxOTAyQ0YtMkY0NC00MzJFLTk2RDEtQ0IzNzg3MkFDRTlC",2,1
15,"Muhammad Zuhri Catur Candra",5,"https://forlap.ristekdikti.go.id/dosen/detail/NUQ3RTRDMEMtODI0My00RUI5LTlGNDYtQkNBQzQxQ0ZDOTNB",4,1
16,"Muhammad Sukrisno Mardiyanto",2,"https://forlap.ristekdikti.go.id/dosen/detail/QTBCOTQ3MTAtOUQ2NC00NkYyLTlBN0EtQzkyNzhGMTU3MzlF",2,1
17,"Nana Heryana",6,"https://forlap.ristekdikti.go.id/dosen/detail/QjZBREIzNzEtNDE1Ni00N0MxLUE5NUItNDc0MDg0NDk4ODRG",5,1
18,"Peb Ruswono Aryan",5,"https://forlap.ristekdikti.go.id/dosen/detail/OERDNEYyNkQtRTVBQS00Qjc0LUIzRDEtRUVGMTJEQTFBQzRE",4,1
19,"Pekik Argo Dahono",3,"https://forlap.ristekdikti.go.id/dosen/detail/MTBFRjQwOUMtNTYxMy00MzdBLThFODItMzUzRUQ1MjgzRTk3",6,1
20,"Riza Satria Perdana",4,"https://forlap.ristekdikti.go.id/dosen/detail/MEM3RjMyMTAtMjE5NS00OUU3LUI2MDMtOTkzRkQ3MkQzNzdE",4,1
21,"Saiful Akbar",2,"https://forlap.ristekdikti.go.id/dosen/detail/NEMzODNDRjktQjZBNC00RkYxLTkyMUEtN0Q5NjYyNUExRkYx",4,1
22,"Suhardi",1,"https://forlap.ristekdikti.go.id/dosen/detail/RkUyQ0FGQjYtQTFENy00ODA4LTlGMUUtM0YxOTEzMjJDRjgx",2,1
23,"Suhono Harso Supangkat",3,"https://forlap.ristekdikti.go.id/dosen/detail/MkU4NkJDNEMtMDM3OC00RjQwLUFFOTQtNUU2Nzk2RjkyRkUx",3,1
24,"Wikan Danar Sunindyo",2,"https://forlap.ristekdikti.go.id/dosen/detail/MTJEQkZCMDMtRTRFRi00NTZFLTlDOTItNkNFQUU4RUZFRDFE",2,1
25,"Yanuarsyah Haroen",3,"https://forlap.ristekdikti.go.id/dosen/detail/RTE5RUZDRkYtMzExMS00QUFCLUE3OEYtOUU4ODc3OUY2MDc1",6,1
26,"Yani Widyani",2,"https://forlap.ristekdikti.go.id/dosen/detail/MjI5MjYzOEEtRkVDNC00NTc0LUFBMUItREU0NkYyOTA4OTY1",4,1
27,"Y. Bandung",2,"https://forlap.ristekdikti.go.id/dosen/detail/NDQxRDE1RjctOUE2OC00RDc0LTgzNTMtOUVCODU5RDExRjJC",2,1
28,"Zenal Aripin",7,"https://forlap.ristekdikti.go.id/dosen/detail/QzU2OUJDQzktMjVFQi00RUMyLUFFODMtQzNERTRBMzNBQzcx",5,1
29,"Yudistira Dwi Wardhana Asnar",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/MDI5QjdEMTYtMDIwNy00MjgzLTgyNzUtNUY5REY0MDY2RTA4",2,1
30,"Windy Gambetta",4,"https://forlap.ristekdikti.go.id/dosen/detail/QUI5MzdBQ0UtOEIyOC00QTk1LTg5QzgtODE5OTk5MTk5NTQ0",4,1
31,"Tricya Esterina Widagdo",2,"https://forlap.ristekdikti.go.id/dosen/detail/MUZDQjhGM0QtM0E1OS00OEZELUI5NzktODM4RUU3RDRGQzk3",4,1
32,"Rinaldi",1,"https://forlap.ristekdikti.go.id/dosen/detail/MkUyQzRFQTEtOUQ4MC00QjQ4LUExMDctQjY0NjJFQTQ4MTJB",4,1
33,"Rila Mandala",2,"https://forlap.ristekdikti.go.id/dosen/detail/MDkwM0JDNTEtQTVFNC00OUZDLUEzNkQtMzhGREJBNkQ2RTg2",2,1
34,"Nur Ulfa Maulidevi",2,"https://forlap.ristekdikti.go.id/dosen/detail/MTA5RkYwMTgtNEQ1MC00QzdCLTlFQTktRTdGN0VDOTAwOTA0",4,1
35,"Masayu Leylia Khodra",1,"https://forlap.ristekdikti.go.id/dosen/detail/QjFENTA3RkMtNjNFMC00OTEzLUEwMDItNDEwNjE4QkQyRTEw",4,1
36,"Kuspriyanto",3,"https://forlap.ristekdikti.go.id/dosen/detail/ODE3MEVBRjMtQzY3NS00RDgzLUFBMTMtODFBQkE4OERDMTk2",6,1
37,"Kridanto Surendro",1,"https://forlap.ristekdikti.go.id/dosen/detail/MTg2RUQ3NTYtRjNDRC00RTBELUJBQzQtNjQ3Qzc2MDZBRjMy",3,1
