id,tahun_ijazah,dosen_id,gelar_id,perguruantinggi_id
1,1986,1,1,1
2,1991,1,2,2
3,2003,1,3,3
4,1990,2,1,1
5,1995,2,4,1
6,2004,2,5,1
7,1978,3,1,1
8,1981,3,6,5
9,1983,3,5,5
10,1994,4,7,1
11,1997,4,4,1
12,2011,4,3,6
13,1989,5,1,1
14,1998,5,5,1
15,2010,6,7,1
16,2013,6,4,1
17,2002,7,7,1
18,2005,7,2,9
19,2011,7,5,1
20,2012,8,8,10
21,2015,8,4,1
22,1989,9,1,1
23,1993,9,9,11
24,2008,9,5,1
25,1983,10,10,1
26,1991,10,2,13
27,1999,11,7,1
28,2001,11,4,1
29,2006,11,3,15
30,1978,12,1,1
31,1986,12,5,16
32,1990,13,1,1
33,1997,13,11,18
34,2000,13,5,18
35,1987,14,12,1
36,1991,14,2,19
37,2006,14,5,1
38,2006,15,4,1
39,2016,15,5,20
40,1978,16,1,1
41,1982,16,6,16
42,1986,16,5,21
43,1999,17,13,30
44,2005,17,7,31
45,2007,18,7,1
46,2010,18,4,1
47,1985,19,1,1
48,1992,19,11,32
49,1995,19,14,32
50,1994,20,7,1
51,1996,20,4,1
52,1997,21,7,1
53,2002,21,4,1
54,2007,21,5,33
55,1988,22,1,1
56,1993,22,4,1
57,1997,22,5,34
58,1986,23,1,1
59,NULL,23,15,37
60,2000,24,7,1
61,2007,24,2,38
62,2012,24,5,20
63,1976,25,1,1
64,1983,25,5,39
65,1994,26,7,1
66,2001,26,4,1
67,2000,27,7,1
68,2002,27,4,1
69,2008,27,5,1
70,2007,28,13,41
71,2002,29,7,1
72,2010,29,3,42
73,1988,30,1,1
74,1994,31,7,1
75,2000,31,2,43
76,1992,32,1,1
77,1999,32,4,1
78,2010,32,5,1
79,1992,33,1,1
80,1998,33,11,32
81,2001,33,3,32
82,1998,34,7,1
83,2002,34,2,49
84,2008,34,5,1
85,1998,35,7,1
86,2006,35,4,1
87,2012,35,5,1
88,1974,36,1,1
89,1979,36,6,5
90,1982,36,5,5
91,1987,37,1,1
92,1991,37,2,1
93,1999,37,3,55
94,1994,38,16,56
95,2002,38,4,1
96,NULL,38,15,37
97,2009,39,8,58
98,2011,39,4,1
99,1991,40,1,1
100,1999,40,2,59
101,2003,40,3,59
102,2002,41,7,1
103,2007,41,11,32
104,2011,41,3,32
105,1976,42,10,1
106,1998,42,4,1
107,1986,43,1,1
108,2004,43,17,18
109,1994,43,5,18
110,1999,44,7,1
111,2002,44,4,1
112,2007,44,5,61
113,1987,45,1,1
114,1992,45,2,62
115,1996,45,3,62
116,1990,46,12,1
117,1996,46,4,1
118,2002,46,5,63
119,1990,47,1,1
120,1992,47,4,1
121,2015,47,5,1
122,1994,48,7,1
123,1998,48,4,1
124,1996,49,7,1
125,1999,49,2,66
126,2007,49,3,67
127,1992,50,1,68
128,1997,50,18,68
129,2000,50,19,19
130,2009,50,5,19
131,1995,51,20,68
132,2005,51,19,10
133,2012,52,8,68
134,2014,52,19,68
135,2005,53,8,68
136,2009,53,2,20
137,1999,54,20,68
138,2005,54,19,19
139,2010,54,5,19
140,1996,55,7,1
141,1999,55,4,1
142,2012,55,5,32
143,2006,56,8,68
144,2011,56,18,68
145,2010,57,8,68
146,2013,57,4,1
147,2008,58,20,68
148,2012,58,19,68
149,NULL,58,17,37
150,1982,59,1,68
151,1991,59,2,71
152,2008,60,7,1
153,2010,60,11,32
154,2017,60,21,19
155,1984,61,1,68
156,1997,61,19,19
157,1997,62,20,68
158,2002,62,19,73
159,2013,62,5,74
160,2005,63,8,68
161,2009,63,4,1
162,2000,64,8,68
163,2007,64,18,68
164,2002,65,8,68
165,2006,65,18,68
166,2005,66,8,68
167,2008,66,19,19
168,2002,67,8,68
169,2008,67,22,79
170,2002,68,8,68
171,2007,68,19,19
172,2017,68,14,83
173,1991,69,1,10
174,2002,69,19,19
175,2008,70,8,10
176,2011,70,2,86
177,1999,71,8,19
178,2008,71,5,19
179,2003,72,8,19
180,2006,72,11,87
181,1999,73,8,19
182,2004,73,2,88
183,2015,73,3,89
184,1991,74,1,19
185,1999,74,19,19
186,2009,74,23,90
187,1984,75,12,1
188,1991,75,23,91
189,2000,76,8,19
190,2004,76,24,3
191,2013,76,3,92
192,2000,77,8,19
193,2003,77,19,19
194,1985,78,1,1
195,2007,78,5,19
196,2000,79,8,19
197,2007,79,19,19
198,1981,80,25,19
199,2011,80,26,19
200,2000,81,8,19
201,2003,81,19,19
202,2008,81,5,19
203,1984,82,12,1
204,1988,82,2,95
205,1992,82,3,95
206,1994,83,20,19
207,1999,83,19,19
208,2004,83,14,32
209,2000,84,8,19
210,2002,84,11,32
211,2006,84,14,32
212,2005,85,2,96
213,1992,86,1,19
214,1999,86,2,98
215,2007,86,5,19
216,2004,87,8,19
217,2008,87,2,99
218,2017,87,5,19
219,1985,88,12,19
220,1990,88,2,100
221,2012,88,5,19
222,1984,89,12,1
223,1990,89,17,19
224,1990,89,19,19
225,1978,90,1,1
226,1990,90,2,100
227,1995,90,3,100
228,1987,91,1,1
229,1992,91,2,103
230,2015,91,3,104
231,1985,92,12,73
232,1988,92,2,105
233,1990,92,3,105
234,1984,93,12,1
235,1997,93,3,106
236,1997,94,7,19
237,2000,94,19,19
238,2007,94,14,107
239,1993,95,8,19
240,1997,95,19,19
241,2005,95,3,109
242,1996,96,8,19
243,2001,96,19,19
244,1986,97,1,68
245,1995,97,3,110
246,1987,98,1,1
247,2005,98,3,113
248,1975,99,12,19
249,1988,99,2,115
250,1996,99,5,68
251,NULL,100,27,37
252,2000,101,8,19
253,2006,101,19,19
254,2006,102,8,19
255,2008,102,26,19
256,2004,103,8,19
257,2007,103,19,19
258,2017,103,5,19
259,2005,104,7,1
260,2009,104,2,66
261,2010,105,8,19
262,2012,105,19,19
263,1985,106,10,19
264,2004,106,3,116
265,1986,107,10,73
266,1991,107,2,117
267,1990,108,1,68
268,1996,108,2,118
269,2003,108,3,118
270,1997,109,8,19
271,2004,109,3,119
272,1986,110,12,19
273,1990,110,2,120
274,1998,110,3,90
275,2004,111,8,19
276,2007,111,19,19
277,2003,112,8,19
278,2007,112,19,19
279,2013,112,3,121
280,2003,113,8,19
281,2011,113,19,19
282,1983,114,1,19
283,1988,114,2,115
284,2017,114,5,19
285,1985,115,1,68
286,2004,115,3,120
287,1993,116,8,19
288,2007,116,19,19
289,NULL,116,15,37
290,1995,117,8,19
291,2000,117,2,118
292,2013,117,3,122
293,2009,118,8,19
294,2011,118,19,19
