id,jumlah_pengajaran,dosen_id,matakuliah_id,perguruantinggi_id
1,7,1,1,1
2,6,1,2,1
3,5,1,3,1
4,8,1,4,1
5,7,1,5,1
6,9,1,6,1
7,1,1,7,4
8,1,1,8,1
9,2,1,9,1
10,1,1,10,1
11,2,1,11,1
12,1,1,12,1
13,13,2,13,1
14,9,2,14,1
15,17,2,15,1
16,7,2,16,1
17,9,2,17,1
18,16,2,18,1
19,6,2,19,1
20,3,2,20,1
21,6,2,21,1
22,2,2,22,1
23,7,2,23,1
24,6,2,24,1
25,1,2,25,1
26,6,2,26,1
27,11,2,27,1
28,3,2,28,1
29,1,2,29,1
30,10,2,30,1
31,4,2,1,1
32,3,2,31,1
33,6,2,32,1
34,3,2,33,1
35,14,2,34,1
36,3,2,35,1
37,1,2,36,1
38,4,2,37,1
39,1,2,38,1
40,3,2,39,1
41,3,2,40,1
42,3,2,41,1
43,7,2,42,1
44,3,2,43,1
45,2,2,44,1
46,7,2,45,1
47,2,2,46,1
48,2,2,47,1
49,4,2,48,1
50,5,2,49,1
51,3,2,50,1
52,1,2,51,1
53,1,2,52,1
54,2,2,53,1
55,1,2,54,1
56,1,2,55,1
57,1,2,56,1
58,1,2,57,1
59,1,2,58,1
60,3,2,59,1
61,1,2,10,1
62,3,2,60,1
63,3,2,61,1
64,1,2,62,1
65,1,2,63,1
66,1,2,64,1
67,1,2,65,1
68,1,2,66,1
69,1,2,67,1
70,2,2,68,1
71,3,2,69,1
72,1,2,70,1
73,2,2,71,1
74,1,2,72,1
75,2,2,73,1
76,1,2,74,1
77,2,2,75,1
78,7,3,76,1
79,4,3,77,1
80,1,3,21,1
81,2,3,78,1
82,2,3,79,1
83,1,3,80,1
84,1,3,81,1
85,1,3,82,1
86,4,3,83,1
87,1,3,7,4
88,3,3,8,1
89,7,3,84,1
90,3,3,85,1
91,2,3,86,1
92,2,3,87,1
93,5,3,88,1
94,1,3,89,1
95,1,3,90,1
96,2,3,91,1
97,1,3,47,1
98,2,3,92,1
99,1,3,93,1
100,1,4,94,1
101,5,4,31,1
102,4,4,95,1
103,1,4,96,1
104,2,4,97,1
105,3,4,98,1
106,2,4,99,1
107,1,4,100,1
108,1,4,101,1
109,5,4,102,1
110,1,4,103,1
111,1,4,104,1
112,5,4,66,1
113,17,5,105,1
114,6,5,106,1
115,3,5,107,1
116,2,5,108,1
117,4,5,109,1
118,19,5,110,1
119,3,5,111,1
120,1,5,112,7
121,1,5,113,7
122,3,5,114,1
123,2,5,115,1
124,1,6,116,8
125,14,7,98,1
126,1,7,117,1
127,14,7,31,1
128,2,7,118,1
129,2,7,87,1
130,1,7,119,1
131,1,7,120,1
132,5,7,102,1
133,2,7,121,1
134,1,7,122,1
135,1,7,123,1
136,5,7,66,1
137,1,7,124,1
138,1,7,89,1
139,1,8,116,8
140,4,9,85,1
141,1,9,21,1
142,3,9,13,1
143,2,9,125,1
144,6,9,37,1
145,3,9,30,1
146,1,9,126,1
147,2,9,84,1
148,3,9,127,1
149,1,9,128,1
150,4,9,28,1
151,1,9,95,1
152,1,9,33,1
153,2,9,42,1
154,6,9,31,1
155,4,9,87,1
156,1,9,129,1
157,3,9,130,1
158,2,9,131,1
159,1,9,132,1
160,2,9,39,1
161,1,9,29,1
162,8,9,82,1
163,4,9,133,1
164,9,9,8,1
165,1,9,134,1
166,3,9,98,1
167,2,9,135,1
168,1,9,120,1
169,4,9,136,1
170,2,9,137,1
171,1,9,138,1
172,3,9,139,1
173,4,9,140,1
174,1,9,141,1
175,9,9,142,1
176,4,9,143,1
177,1,9,144,1
178,1,9,145,1
179,1,9,146,1
180,1,9,48,1
181,1,9,147,1
182,4,9,76,1
183,3,9,148,1
184,13,9,49,1
185,2,9,149,1
186,4,9,150,1
187,3,9,151,1
188,2,9,152,12
189,1,9,153,1
190,1,9,154,1
191,4,9,83,1
192,1,9,119,1
193,1,9,155,1
194,3,9,24,1
195,3,9,156,1
196,2,9,74,1
197,1,9,93,1
198,1,9,157,1
199,1,9,62,1
200,1,9,158,1
201,1,9,159,1
202,1,9,160,1
203,1,9,5,1
204,1,9,161,1
205,2,9,162,1
206,2,9,163,1
207,1,9,164,1
208,1,9,165,1
209,1,9,166,1
210,5,10,8,1
211,2,10,167,1
212,3,10,168,1
213,7,10,169,1
214,7,10,170,1
215,2,10,171,1
216,3,10,172,1
217,2,10,173,1
218,4,10,174,1
219,1,10,175,14
220,6,10,55,1
221,5,10,176,1
222,5,10,177,1
223,5,10,110,1
224,1,10,46,1
225,5,10,117,1
226,3,10,135,1
227,1,10,178,1
228,3,10,179,1
229,3,10,180,1
230,1,10,82,1
231,2,10,181,1
232,2,10,182,1
233,1,10,183,1
234,1,10,28,1
235,1,11,4,1
236,2,11,184,1
237,2,11,185,1
238,1,11,186,1
239,1,11,187,1
240,1,11,156,1
241,16,12,188,1
242,5,12,189,1
243,1,12,190,1
244,3,12,191,1
245,1,12,192,1
246,3,12,193,1
247,1,12,194,1
248,1,12,159,1
249,7,12,195,1
250,7,12,196,1
251,1,12,197,1
252,1,12,198,1
253,2,12,199,1
254,1,12,7,4
255,2,12,8,1
256,4,12,200,1
257,1,12,201,17
258,2,12,202,1
259,2,12,203,1
260,1,12,133,1
261,2,13,107,1
262,1,13,204,1
263,3,13,205,1
264,2,13,109,1
265,6,13,206,1
266,1,13,207,1
267,4,13,208,1
268,1,13,209,1
269,2,13,210,1
270,1,13,105,1
271,4,13,211,1
272,2,14,212,1
273,4,14,197,1
274,3,14,195,1
275,3,14,170,1
276,3,14,173,1
277,2,14,110,1
278,10,14,213,1
279,2,14,177,1
280,3,14,172,1
281,1,14,214,4
282,5,14,215,1
283,2,14,216,1
284,2,14,217,1
285,1,14,218,1
286,1,15,116,8
287,1,16,219,22
288,5,16,220,23
289,1,16,221,23
290,2,16,222,23
291,4,16,223,22
292,8,16,224,24
293,3,16,72,1
294,1,16,225,1
295,7,16,226,24
296,4,16,227,1
297,18,16,49,1
298,2,16,228,1
299,5,16,229,22
300,6,16,230,24
301,2,16,231,25
302,2,16,232,26
303,5,16,13,1
304,1,16,233,1
305,1,16,234,27
306,1,16,235,25
307,4,16,66,1
308,2,16,42,1
309,1,16,33,1
310,1,16,1,1
311,3,16,37,1
312,1,16,134,1
313,2,16,39,1
314,2,16,30,1
315,1,16,125,1
316,1,16,236,1
317,2,16,237,26
318,3,16,238,1
319,1,16,239,1
320,2,16,240,1
321,1,16,241,1
322,5,16,242,1
323,3,16,243,1
324,5,16,29,1
325,1,16,244,1
326,2,16,27,1
327,1,16,245,1
328,2,16,246,1
329,2,16,247,1
330,1,16,248,1
331,2,16,249,1
332,1,16,250,1
333,1,16,251,1
334,1,16,252,1
335,11,16,32,1
336,1,16,133,1
337,2,16,48,1
338,2,16,253,1
339,1,16,213,1
340,3,16,254,1
341,1,16,35,1
342,1,16,5,1
343,2,16,255,1
344,1,16,34,1
345,1,16,256,1
346,1,16,257,1
347,1,16,110,1
348,1,16,258,1
349,1,16,259,1
350,1,16,260,1
351,1,16,55,1
352,1,16,135,1
353,1,16,195,1
354,1,16,31,1
355,1,16,261,1
356,1,16,262,1
357,1,16,82,1
358,1,16,263,1
359,1,16,264,1
360,1,16,265,1
361,1,16,36,1
362,1,16,266,1
363,16,16,267,26
364,1,16,268,22
365,1,16,269,22
366,5,16,103,1
367,5,16,270,1
368,1,16,214,4
369,6,16,271,24
370,3,16,119,1
371,3,16,272,1
372,4,16,273,1
373,1,16,274,24
374,1,16,176,28
375,1,16,275,28
376,1,16,276,28
377,5,16,277,28
378,1,16,278,1
379,4,16,279,28
380,1,16,26,1
381,17,16,280,29
382,5,16,102,1
383,2,16,93,1
384,1,16,281,1
385,1,16,282,26
386,2,16,283,1
387,2,16,284,1
388,1,16,100,1
389,1,16,157,1
390,1,16,285,1
391,1,16,217,1
392,1,16,286,26
393,4,16,287,26
394,1,16,288,29
395,3,16,289,26
396,1,16,290,26
397,1,16,291,26
398,1,17,116,8
399,5,18,31,1
400,3,18,46,1
401,1,18,110,1
402,2,18,53,1
403,20,19,292,1
404,3,19,117,1
405,2,19,105,1
406,23,19,293,1
407,4,19,108,1
408,5,19,294,1
409,4,19,295,1
410,5,19,296,1
411,2,19,297,1
412,7,20,298,1
413,11,20,299,1
414,13,20,300,1
415,1,20,301,1
416,2,20,302,1
417,1,20,303,1
418,1,20,156,1
419,4,20,31,1
420,10,20,98,1
421,12,20,120,1
422,2,20,304,1
423,3,20,305,1
424,1,20,306,1
425,2,20,307,1
426,1,20,308,1
427,10,21,66,1
428,1,21,257,1
429,1,21,143,1
430,7,21,98,1
431,5,21,309,1
432,4,21,95,1
433,7,21,233,1
434,3,21,120,1
435,2,21,310,1
436,1,21,306,1
437,5,21,88,1
438,2,21,213,1
439,1,21,156,1
440,4,21,91,1
441,2,21,6,1
442,5,21,129,1
443,1,21,74,1
444,4,22,311,35
445,4,22,312,35
446,2,22,236,35
447,2,22,313,35
448,9,22,314,1
449,10,22,4,1
450,3,22,315,35
451,4,22,316,1
452,2,22,317,1
453,1,22,318,35
454,1,22,147,35
455,1,22,65,35
456,1,22,117,35
457,1,22,319,35
458,1,22,320,35
459,1,22,321,35
460,15,22,50,1
461,2,22,322,35
462,2,22,323,35
463,2,22,324,35
464,1,22,325,1
465,3,22,326,1
466,1,22,327,1
467,7,22,83,1
468,8,22,149,1
469,2,22,328,35
470,5,22,211,1
471,7,22,329,1
472,5,22,330,1
473,2,22,331,36
474,2,22,28,1
475,3,22,332,1
476,2,22,333,1
477,3,22,334,1
478,3,22,335,1
479,2,22,336,1
480,1,22,337,1
481,2,22,338,1
482,1,22,339,1
483,3,22,340,1
484,1,22,341,1
485,1,22,342,1
486,3,23,205,1
487,6,23,343,1
488,5,23,204,1
489,6,23,20,1
490,1,23,344,1
491,7,23,345,1
492,5,23,346,1
493,4,23,347,1
494,4,23,348,1
495,2,23,349,1
496,4,23,91,1
497,2,23,350,1
498,2,23,351,1
499,1,24,116,8
500,8,25,352,1
501,11,25,353,1
502,9,25,354,1
503,10,25,313,1
504,5,25,355,1
505,1,25,327,1
506,1,25,331,40
507,1,25,356,40
508,8,25,357,40
509,23,25,248,1
510,4,25,358,1
511,4,25,159,1
512,2,25,359,1
513,5,25,68,1
514,25,26,49,1
515,15,26,291,1
516,6,26,21,1
517,5,26,13,1
518,2,26,72,1
519,2,26,228,1
520,1,26,273,1
521,6,26,26,1
522,3,26,120,1
523,20,26,31,1
524,2,26,130,1
525,1,26,270,1
526,3,26,95,1
527,2,26,360,1
528,5,26,102,1
529,5,26,66,1
530,1,26,123,1
531,1,26,121,1
532,5,27,41,1
533,6,27,111,1
534,5,27,361,1
535,3,27,362,1
536,3,27,50,1
537,1,27,46,1
538,2,27,363,1
539,4,27,88,1
540,2,27,364,1
541,2,27,365,1
542,3,27,31,1
543,1,28,116,8
544,1,29,116,8
545,3,30,155,1
546,3,30,366,1
547,2,30,74,1
548,1,30,117,1
549,1,30,367,1
550,2,30,300,1
551,4,30,368,1
552,3,30,369,1
553,1,30,370,1
554,3,30,118,1
555,6,30,371,1
556,13,30,372,1
557,1,30,373,1
558,4,30,374,1
559,2,30,375,1
560,1,30,376,1
561,1,30,127,1
562,1,30,377,1
563,1,30,378,1
564,5,31,379,1
565,11,31,84,1
566,14,31,87,1
567,10,31,66,1
568,1,31,86,1
569,1,31,117,1
570,16,31,98,1
571,24,31,31,1
572,1,31,74,1
573,2,31,123,1
574,1,31,122,1
