id,"nama_matakuliah",keahlian_id
1,"Sistem Operasi",3
2,"Jaringan Komputer & Pengamanannya",3
3,"Sistem Terdistribusi",3
4,"Jaringan Komputer",3
5,"Sistem Komputer",3
6,"Pemrosesan Dan Manajemen Data Multimedia",4
7,"Project Management",5
8,"Tesis",NULL
9,"Sistem Arsitekturkomputer A",3
10,"Sistem Operasi Lanjut",3
11,"Sistem Paralel Dan Terdistribusi",3
12,"Sistem & Arsitektur Komputer A",3
13,"Tesis I",NULL
14,"Pemodelan Berorientasi Obyek & Rek. Per.",2
15,"Basis Data Multimedia",4
16,"Perancangan Perangkat Lunak",5
17,"Bisnis Secara Elektronik",NULL
18,"Rangkaian Logika Teknik Digital",10
19,"Interaksi Komputer-Manusia",5
20,"Sistem Multimedia",3
21,"Tesis Ii",NULL
22,"Rangkaian Logika & Teknik Digital",10
23,"Manajemen Proyek Teknologi Informasi",4
24,"Pengembangan Aplikasi Berorientasi Objek",1
25,"Pemrograman Paralel",1
26,"Rekayasa Perangkat Lunak Lanjut",5
27,"Sistem Digital",3
28,"Sistem Probabilistik Dan Stokastik",3
29,"Matematika Teknik I",2
30,"Agama Dan Etika Katolik",NULL
31,"Pengenalan Teknologi Informasi A",4
32,"Pancasila Dan Kewarganegaraan",NULL
33,"Pemahaman Teks Akademik",NULL
34,"Tata Tulis Karya Ilmiah",NULL
35,"Fisika Dasar Iia",NULL
36,"Ekonomi Teknik",NULL
37,"Agama Dan Etika Protestan",NULL
38,"Olah Raga",NULL
39,"Agama Dan Etika Budha",NULL
40,"Etika Hukum Cyber",NULL
41,"Manajemen Data",4
42,"Teknik Presentasi",NULL
43,"Rekayasa Interaksi",5
44,"Kalkulus Ia",2
45,"Komposisi",NULL
46,"Tugas Akhir I  Seminar",NULL
47,"Sistem Alam Semesta",3
48,"Praktikum Sistem Digital",3
49,"Rekayasa Perangkat Lunak",5
50,"Jaringan Informasi",3
51,"Manajemen Keekonomian Proyek",4
52,"Politik Dan Tata Pemerintahan",NULL
53,"Elektronika I",NULL
54,"Manajemen Insani Kontemporer",4
55,"Struktur Diskrit",2
56,"Pengembangan Organisasi Dan Organisasi P",NULL
57,"Celup Ikat",NULL
58,"Bisnis Secaraelektronik",NULL
59,"Perancangan Arsitektur Enterprise",9
60,"Perencanaanstrategis Teknologi Inf",NULL
61,"Kapita Selekta Sti",NULL
62,"Sistem Arsitekturkomputer B",3
63,"Pengetahuanlingkungan",NULL
64,"Hukum Etikateknologi Informasi",4
65,"Keamanan Informasi",4
66,"Dasar Pemrograman",1
67,"Sosiologi Komunikasi",NULL
68,"Pengantar Analisis Rangkaian",2
69,"Manajemem Pengembangan Aplikasi",1
70,"Komunikasi Merek",NULL
71,"Pemrosesan Bahasa Alami Dan Ucapan",7
72,"Visualisasi Data Dan Informasi",4
73,"Manajemen Pengembangan Aplikasi",4
74,"Manajemen Informasi B",4
75,"Pemrograman Lanjut",1
76,"Teknologi Basis Data",4
77,"Studi Mandiri Ii",NULL
78,"Manajemen Informasi A",4
79,"Topik Khusus Ii",NULL
80,"Teori Basis Data",4
81,"Studi Mandiri I",NULL
82,"Manajemen Resiko Enterprise",4
83,"Metodologipenelitian/Tesis 1",NULL
84,"Sistem Basis Data",4
85,"Sistem Basis Data Terdistribusi",4
86,"Basis Data Nonrelasional",4
87,"Basis Data",4
88,"Konsep Pengembangan Ilmu Pengetahuan",7
89,"Pemodelan Basis Data",4
90,"Manajemen Informasia",4
91,"Pengantar Rekayasa & Desain Ii",5
92,"Sistem Alam & Semesta",3
93,"Evolusi Perangkatlunak",NULL
94,"Topik Khusus Rekayasa Perangkat Lunak",5
95,"Pemrograman Komputer (Tm)",1
96,"Rekayasa Kebutuhan Sistem Perangkat Lu",3
97,"Strategi & Kebijakan",NULL
98,"Algoritma Struktur Data",1
99,"Kualitas Perangkat Lunak",5
100,"Rekayasa Kebutuhansistem  Perangkat",NULL
101,"Secure Softwaredevelopmentlife Cycle",NULL
102,"Pengenalan Teknologi Informasi B",4
103,"Metoda & Proses Pembangunan Perangkat Lu",NULL
104,"Dasar Rekayasa Perangkat Lunak",5
105,"Sinyal Sistem",3
106,"Sistem Kendali Non Linier",3
107,"Probabilitas Statistik",2
108,"Sinyal & Sistem",3
109,"Probabilitas & Statistik",2
110,"Probabilitas Statistika",2
111,"Pengolahan Sinyal Digital",NULL
112,"Rekayasa Perangkat Teknologi Informasi",4
113,"Strategi Dan Sistem Pemerintahan",3
114,"Sistem Kendali Nonlinear",3
115,"Probabilitas Danstatistik",2
116,"",NULL
117,"Tugas Akhir Ii",NULL
118,"Tugas Akhir I & Seminar",NULL
119,"Sumber Daya Informasi Enterprise",4
120,"Pemrograman Berorientasi Objek",1
121,"Sosioteknologiinformasi",NULL
122,"Pemrograman Fungsional",1
123,"Algoritma Strukturdata",1
124,"Pemodelan Data Lanjut",4
125,"Penulisan Karya Ilmiah",NULL
126,"Topik Khusus",NULL
127,"Fundamentalintelijen Bisnis",NULL
128,"Topik Khusus Sains Komputer 2",NULL
129,"Visualisasi Data",6
130,"Komunikasi Antar Personal",NULL
131,"Rekayasasistem Kerja",NULL
132,"Pemasaran Jasa",NULL
133,"Desianinteraksi,Visualisasi Dan Game",6
134,"Agama Dan Etika Hindu",NULL
135,"Kerja Praktek",NULL
136,"Teknologi Dan Manajemen Operasi",4
137,"Statistika Bisnis",2
138,"Anatomi Fisiologi Praktikum",NULL
139,"Inteligensi Kolektif",NULL
140,"Perancangan Sistem Interaksi",3
141,"Sistem Informasi Kesehatan",4
142,"Keamanan Informasi Lanjut",4
143,"Pengujian Perangkat Lunak",5
144,"Pengantar Kepariwisataan",NULL
145,"Analisa Kuantitatif Kualitatif",NULL
146,"Teknik Biomedika Praktikum",NULL
147,"Manajemen Teknologi",4
148,"Kepemimpinan Bisnis",NULL
149,"Metoda Penelitian",NULL
150,"Kerekayasaan Informasi",4
151,"Metode Formal",NULL
152,"Data Management",4
153,"Pengembangankeprofesian/Komunitasa",NULL
154,"Pengetahuan Dan Inovasi",7
155,"Pembelajaran Mesin",7
156,"Algoritma & Pemrograman B",1
157,"Keamanan Sistem  Perangkat Lunak",4
158,"Datawarehouse Datamining",NULL
159,"Manajemen Sistem Informasi",4
160,"Keamanan Perangkat Lunak",4
161,"Pembelajaran Mesin Lanjut",7
162,"Data Warehouse & Business Intelligence",4
163,"Pengembangan Intelijen Bisnis & Operas",NULL
164,"Representasi & Penalaran Pengetahuan",7
165,"Jaringan Multilayanan & Jaringan Multime",3
166,"Mikroelektronika Frekuensi Radio",NULL
167,"Kewirausahaan Teknologi Informasi",4
168,"Matematika Informatik",2
169,"Manajemen Resiko",4
170,"Otomata & Teori Bahasa Formal",NULL
171,"Strategi & Kebijakan Tek. Informasi",4
172,"Algoritma Kombinatorial",1
173,"Probabilitas & Statistika",2
174,"Matematika Diskrit",2
175,"Sistim Berkas Dan Basis Data",4
176,"Manajemen Resiko Sistem Informasi",4
177,"Teori Bahasa Dan Otomata",NULL
178,"Probabilitas  Statistika",2
179,"Tugas Akhir 2",NULL
180,"Tugas Akhir 1 & Seminar",NULL
181,"Metode Numerik Lanjut",NULL
182,"Teori Bahasa Formal Dan Otomata",NULL
183,"Manajemen Sumber Daya Sti",4
184,"Pemrogramanintegratif",NULL
185,"Matematika Sti",2
186,"Instrumentasi Sistem Kendali",3
187,"Rekayasa Sistem Multimedia",3
188,"Grafika Komputer",6
189,"Interpretasi & Pengolahan Citra",6
190,"Sistem Grafika Komputer",6
191,"Sistem Intelijen Terapan",3
192,"Sistem Intelijen",3
193,"Grafika Komputer Terapan",6
194,"Fundamental Inteligensi Buatan",NULL
195,"Metode Numerik",NULL
196,"Grafika Komputer Visualisasi",6
197,"Pemodelan & Simulasi",2
198,"Pemodelan Informasi",2
199,"Topik Khusus Sainskomputer Ii",NULL
200,"Sistem Rekognisi",3
201,"Kapita Selekta",NULL
202,"Pengenalan Pola",NULL
203,"Interpretasi Dan Pengolahan Citra",6
204,"Teknologi Multimedia",NULL
205,"Strategi Dan Pengembangan Ti",NULL
206,"Perencanaan Strategis Teknologi Informas",NULL
207,"Teori Manajemen & Organisasi",4
208,"Arsitektur Berbasis Layanan",3
209,"Perancangan Aplikasi Berbasislayanan",NULL
210,"Tata Kelola  Pengukurankinerja Tekno",NULL
211,"Manajemen Resiko Teknologi Informasi",4
212,"Sistem Komputasi",3
213,"Rekayasa Perangkat Lunak Untuk Domain Game",5
214,"It Ethics,Regulation & Cyber Law",NULL
215,"Pemodelan Dan Simulasi",2
216,"Aljabar Geometri",2
217,"Teori Komputasi",NULL
218,"Organisasi Sistem Komputer",3
219,"Information Distribution",NULL
220,"Pengenalan Informatika",NULL
221,"Rekayasa Perangkat Lunak Dasar",5
222,"Jaringan Komputer Lanjut",3
223,"Electronic Business",NULL
224,"Teknologi Sistem Komputer",3
225,"E-Bisnis",NULL
226,"Keamanan Komputer",4
227,"Perawatan Perangkat Lunak",5
228,"Sistem Berbasis Komponen",3
229,"Sistem Informasi Dan E-Commerce",4
230,"Mnj. Proyek Teknologi Informasi",5
231,"Pengantar Aplikasi Komputer",NULL
232,"Metode Penelitian",NULL
233,"Pembangunan Perangkat Lunak",5
234,"Keamanan Sistem Informasi",4
235,"Praktik Audit",NULL
236,"Konsep Teknologi",NULL
237,"Komputer Grafik",6
238,"Metode Berpikirkreatif",NULL
239,"Kriptografi",2
240,"Komunikasipembangunan",NULL
241,"Analisis Perangkat Lunak",2
