id,"nama_perguruantinggi"
1,"Institut Teknologi Bandung"
2,"Simon Fraser University"
3,"Monash University"
4,"Stmik Nusa Mandiri Jakarta"
5,"Academie De Montpellier"
6,"La Trobe University"
7,"Sekolah Tinggi Ilmu Ekonomi Indonesia Malang"
8,""
9,"Hogeschool Van Arnhem En Nijmegen"
10,"Institut Teknologi Sepuluh Nopember"
11,"The University Of New South Wales"
12,"Institut Manajemen Telkom"
13,"University Of Illinois - Urbana Champaign"
14,"Institut Teknologi Telkom"
15,"Denki Tsushin Daigaku"
16,"Institut National Politechnique De Grenoble"
17,"Universitas Jenderal Achmad Yani"
18,"Waseda University"
19,"Universitas Indonesia"
20,"Technische Universitat Wien"
21,"Universite Montpelier Ii"
22,"Universitas Bunda Mulia"
23,"Universitas Pasundan"
24,"Universitas Putra Indonesia Yptk Padang"
25,"Sekolah Tinggi Ilmu Ekonomi Yai"
26,"Universitas Persada Indonesia Yai"
27,"Universitas Budi Luhur"
28,"Sekolah Tinggi Ilmu Komputer Dinamika Bangsa"
29,"Stmik Likmi"
30,"043040   Sekolah Tinggi Teknologi Mandala"
31,"041021   Universitas Jenderal Achmad Yani"
32,"Tokyo Institute Of Technology"
33,"Johannes Kepler University Linz"
34,"Berlin Technische Universitat"
35,"Institut Teknologi Harapan Bangsa"
36,"Universitas Sebelas Maret"
37,"N/A"
38,"Technische Universitat Dresden"
39,"Institut National Politechnique De Toulouse"
40,"Universitas Bung Karno"
41,"005004   Politeknik Negeri Bandung"
42,"Universita Degli Studi Di Trento"
43,"University Of Otago"
44,"Akademi Keperawatan Yappkes Aceh Singkil"
45,"Sekolah Tinggi Ilmu Kesehatan Alifah Padang"
46,"Universitas Pertamina"
47,"Universitas Presiden"
48,"Universitas Multimedia Nusantara"
49,"University Of Twente"
50,"Politeknik Negeri Manado"
51,"Universitas Gunadarma"
52,"Sekolah Tinggi Sains Dan Teknologi Indonesia"
53,"Sekolah Tinggi Ilmu Hukum Gunung Jati"
54,"Sekolah Tinggi Ilmu Kesehatan Jenderal Achmad Yani"
55,"Keio University"
56,"West Texas A And M University"
57,"Sekolah Tinggi Teknologi Payakumbuh"
58,"Universitas Pendidikan Indonesia"
59,"Texas A And M University"
60,"Universitas Kristen Maranatha"
61,"Toyohashi University Of Technology"
62,"The University Of Manitoba"
63,"The University Of Tokyo"
64,"Universitas Bale Bandung"
65,"Poltekkes Kemenkes Bandung"
66,"Delft University Of Technology"
67,"The University Of Newcastle"
68,"Institut Pertanian Bogor"
69,"Stmik Eresha"
70,"Universitas Nurtanio"
71,"The University Of New Brunswick"
72,"Sekolah Tinggi Ilmu Ekonomi Kbp"
73,"Universitas Gadjah Mada"
74,"Universiti Putra Malaysia"
75,"Stmik Triguna Utama"
76,"Stkip Setiabudhi"
77,"Universitas Krisnadwipayana"
78,"Universitas Nusa Cendana"
79,"King Fahd University Of Petroleum & Minerals"
80,"Universitas Muhammadiyah Jakarta"
81,"Akademi Keperawatan Insan Husada Surakarta"
82,"Universitas Tadulako"
83,"Hiroshima University"
84,"Stmik Surabaya"
85,"Universitas Airlangga"
86,"National Taiwan University Of Science And Technology"
87,"Kyushu University"
88,"Technische Universitaet Dresden"
89,"Universidade Nova De Lisboa"
90,"The University Of Queensland"
91,"University Of Illionis - Chicago"
92,"Australian National University"
93,"Sekolah Tinggi Ilmu Ekonomi Mitra Lampung"
94,"Institut Informatika Dan Bisnis Darmajaya"
95,"The University Of Waterloo"
96,"Temple University"
97,"Sekolah Tinggi Pariwisata Trisakti"
98,"The University Of Auckland"
99,"Hochschule Fulda"
100,"Queens University At Kingston"
101,"Universitas Swiss German"
102,"Universitas Widyatama"
103,"Michigan State University"
104,"Universita Di Pisa"
105,"University Of Manchester"
106,"University Of Victoria"
107,"Nagoya University"
108,"Universitas Negeri Jakarta"
109,"Curtin University Of Technology"
110,"Indiana University - Southeast"
111,"Universitas Dian Nuswantoro"
112,"Stmik Raharja"
113,"Royal Melbourne Institute Of Technology University"
114,"Universitas Borobudur"
115,"University Of Minnesota - Minneapolis"
116,"University Of Glasgow"
117,"University Of Western Ontario"
118,"University Of London"
119,"University Of Edinburgh"
120,"University Of Toronto"
121,"Utah State University"
122,"University Of Southampton"
123,"Aalborg University"
124,"Akademi Akuntansi Yai Jakarta"
125,"The Ohio State University"
126,"Korea Advanced Institute Of Science And Technology"
127,"Universitas Bina Nusantara"
128,"Dresden Technische Universitat"
129,"Sekolah Tinggi Ilmu Ekonomi Trisakti"
130,"Universitas Tama Jagakarsa"
131,"Universitas Islam Indonesia"
132,"Stmik Amikom"
133,"Sekolah Tinggi Ilmu Komputer Pelita Indonesia"
134,"Akademi Manajemen Informatika & Komputer Aster"
135,"Politeknik Kesehatan Bhakti Setya Indonesia"
136,"Universiti Teknologi Malaysia"
137,"Universitas Pembangunan Nasional Veteran"
138,"Universitas Ahmad Dahlan"
139,"Nanyang Technological University"
140,"Politeknik Sawunggalih Aji"
141,"Universitas Muhammadiyah Purworejo"
142,"Osmania University"
143,"Kanazawa University"
144,"Universitas Islam Negeri Sunan Kalijaga"
145,"University Of Essex"
146,"Universitat Des Saarlandes"
147,"Chulalongkorn University"
148,"Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo"
149,"Universiti Teknologi Petronas"
150,"University Of Nottingham"
151,"Pusan National University"
152,"Universitas 17 Agustus 1945 Surabaya"
153,"Universitas Brawijaya"
154,"The University Of Western Australia"
155,"Umist And The Victoria University Of Manchester"
156,"Universitas Surabaya"
157,"Institut Informatika Indonesia Surabaya"
158,"Universitas Khairun"
159,"Kumamoto University"
160,"Saga University"
161,"Institut Teknologi Adhi Tama Surabaya"
162,"Universitas Serambi Mekkah"
163,"Institut Ilmu Kesehatan Bhakti Wiyata Kediri"
164,"Politeknik Mitra Kusuma"
165,"University Of Wisconsin - Madison"
166,"Universitas Kristen Petra"
167,"Universitas Narotama"
168,"Universitas Pelita Harapan Surabaya"
169,"Sekolah Tinggi Teknik Ypm Sepanjang"
170,"Konkuk University"
171,"National University Of Ireland"
172,"Universitas Islam Malang"
173,"National Taiwan Normal University"
174,"Ritsumeikan University"
175,"Universitas Padjadjaran"
176,"Universitas Islam Negeri Sulthan Syarif Kasim"
177,"Royal Melbourne Institute Of Technology"
178,"Flinders University"
179,"National Taiwan University"
180,"Sekolah Tinggi Teknik Surabaya"
181,"Universitas Widya Kartika"
182,"Universitas Kutai Kartanegara Tenggarong"
183,"Institut Sains Dan Teknologi Akprind"
184,"Stmik Jaya Nusa"
