id,"app_label","model"
13,"admin","logentry"
15,"auth","group"
14,"auth","permission"
16,"auth","user"
1,"caripakar_app","dosen"
2,"caripakar_app","dosengelar"
3,"caripakar_app","dosenmatakuliah"
4,"caripakar_app","dosenskor"
5,"caripakar_app","gelar"
6,"caripakar_app","jabatanfungsional"
12,"caripakar_app","jenjang"
7,"caripakar_app","keahlian"
8,"caripakar_app","matakuliah"
9,"caripakar_app","penelitian"
10,"caripakar_app","perguruantinggi"
11,"caripakar_app","programstudi"
19,"caripakar_app","programstudikeahlian"
17,"contenttypes","contenttype"
18,"sessions","session"
