judul_penelitian,keahlian_id
Integrasi Model Dan Media Pembelajaran Interaktif Berbantuan Website Untuk Menin,5
Integrasi Model Dan Media Pembelajaran Interaktif Berbantuan Website Untuk Menin,5
Teknologi Pelacakan Dokumen Untuk Meningkatkan \r\nEfisiensi Birokrasi Dan Menduku,5
Teknologi Pelacakan Dokumen Untuk Meningkatkan \r\nEfisiensi Birokrasi Dan Menduku,5
Integrasi Instrumentasi Medis Dengan Sistem Manajemen Dots Multimedia Untuk Mend,9
Integrasi Instrumentasi Medis Dengan Sistem Manajemen Dots Multimedia Untuk Mend,9
Pemanfaatan Sequential Pattern Pada Tahap Preprocessing Untuk Peningkatan Kinerj,1
Pengembangan Teknologi Pengelolaan Data Spasial\r\nuntuk Model Korporasi pada Plat,4
Penerapan Dan Implementasi Teknologi Virtual Class Untuk Daerah Rural,3
Sistem Pemahaman Konten Citra Digital Dengan Metode Non Statistik,7
Pengembangan Teknologi Pengelolaan Data Spasial\r\nuntuk Model Korporasi pada Plat,4
Pemanfaatan Teknologi Digital Signage Untuk Mengembangkan Sistem Informasi Dan K,5
Penerapan Dan Implementasi Teknologi Virtual Class Untuk Daerah Rural,3
Pemanfaatan Teknologi Digital Signage Untuk Mengembangkan Sistem Informasi Dan K,5
Repository Informasi Objek Wisata Dengan Teknologi Semantik Web Dan Basisdata Mu,5
Repository Informasi Objek Wisata Dengan Teknologi Semantik Web Dan Basisdata Mu,5
Pengembangan Aplikasi Dan Konten Rencana Pelaksanaan Pembelajaran (Rpp) Pada Pla,5
Pengembangan Aplikasi Dan Konten Rencana Pelaksanaan Pembelajaran (Rpp) Pada Pla,5
Manajemen Informasi ðUnprediactableð pada Basisdata Spatio-Temporal\r\nKasus Tangg,4
Pemanfaatan Teknologi Digital Signage Untuk Mengembangkan Sistem Informasi Dan K,5
Pengembangan Rural Telepresence Untuk Pembelajaran Jarak Jaruh Di Sekolah Pedesa,5
Manajemen Informasi ðUnprediactableð pada Basisdata Spatio-Temporal\r\nKasus Tangg,4
Perancangan Dan Implementasi Sistem Keamanan Data Untuk Radar,5
Pengembangan Model Adopsi Cloud Computinguntuk Perguruan Tinggi,3
Pengembangan Model Adopsi Cloud Computinguntuk Perguruan Tinggi,3
Sistem Cerdas Untuk Online Monitoring System Pada Diesel Engine (Motor Bakar Tor,7
Sistem Cerdas Untuk Online Monitoring System Pada Diesel Engine (Motor Bakar Tor,7
Pengembangan Sistem Untuk Prediksi Kredibilitas Informasi Dari Jejaring Sosial O,4
Pengembangan Sistem Untuk Prediksi Kredibilitas Informasi Dari Jejaring Sosial O,4
Pengembangan Satelit Mikro Berbasis On Board Internet,10
Pengembangan Prototipe Sistem Layanan Pembayaran Mobile Dengan Near Field Commun,4
Kepemimpinan Dan Budaya Tatakelola Data Perguruan Tinggi Untuk Pencapaian Tujuan,8
Solusi Smart (Card) Untuk Kebutuhan Konektivitas Mp3Ei. Studi Kasus: Data Rekam,3
Desain Dan Implementasi Networked Control Systems Yang Bersifat Kokoh Dan Disipa,3
Desain Dan Implementasi Networked Control Systems Yang Bersifat Kokoh Dan Disipa,3
Perancangan Dan Implementasi Networked Control System Melalui Pendekatan Markovi,3
"AIR POLLUTION FORECASTING IN INDONESIA AND \r\nITS CO-BENEFIT ANALYSIS FOR HEALTH,",9
Digital Store Berbasis Contact Center Terintegrasi Untuk Penguatan Umkm Di Indon,4
Digital Store Berbasis Contact Center Terintegrasi Untuk Penguatan Umkm Di Indon,4
Pengembangan Perangkat Dan Layanan Konferensi Video Pada Private Area Networks,5
Pengembangan Software Defined Radar Untuk Edukasi Dan Hankam,5
Pengembangan Smart Gateway Untuk Mendukung Layanan Komunitas Guru Belajar Di Ped,5
Pengembangan Smart Gateway Untuk Mendukung Layanan Komunitas Guru Belajar Di Ped,5
Pengembangan Metode Analisis Kerentanan Sistem Ketahanan Pangan Terhadap Dampak,8
Optimasi Time Delay-Cascading Neural Network (Td-Cnn) Dengan Kecerdasan Alami Un,3
Strategi Pencegahan Epidemi Demam Berdarah Dengue Berbasis Anfis Dan Sistem Paka,7
Sistem Prediksi Khasiat Formula Jamu Dengan Pendekatan Machine Learning Dan Pemb,7
Pengembangan Teknologi Computer Vision Dalam Pengelolaan Hama Terpadu Di  Pertan,5
PEMBANGUNAN DATABASE MANGROVE\r\nUNTUK BIODIVERSITY INFORMATICS BIOFARMAKA IPB,4
Ipb Biodiversitas Informatics(Ipbiotics) Untuk Pembangunan Berkelanjutan,7
Development Of Medicinal Plant Leaf Identification System Based On Leaf Biometri,7
Development Of Medicinal Plant Leaf Identification System Based On Leaf Biometri,7
Pengembangan Sistem Prediksi Khasiat Formula Jamu Dengan Pendekatan Reverse Dan,7
Analisis  Potensi Dan Kualitas Sumber Daya Pakan Di Jawa Barat  Untuk Mendukung,8
Identifikasi  Hasil  Perikanan Melalui Teknik Molekuler Dna (Dna Barcoding) Dala,7
Peningkatan Kesehatan Masyarakat Melalui Interactive Breakfast-Nutrition Learnin,7
Metode Ensemble Dalam Data Mining Untuk Peningkatan Kemampuan Prediksi Produksi,2
Model Pengembangan Kemitraan dan Pemasaran Terpadu Rumput Laut  \r\nDalam Rangka P,7
Pengembangan Sistem Peringatan Dini Kebakaran Hutan Dan Lahan Gambut Di Sumatera,4
Sistem Informasi Tracking Harga Ikan Berbasis Sms Untuk Layanan Masyarakat Perik,4
Pengembangan Kerangka Kerja Evaluasi Kinerja Dan Kemampuan Organisasi Pemerintah,8
Pengembangan  Model Sosio-Teknis Rekayasa Ontologi. Studi Kasus: Pengembangan On,7
Development Of Highly Adaptable And Reliable Software Development Tool To Suppor,5
